time,open,high,low,close,tick_volume,spread,real_volume
2025-04-01 09:00:00+00:00,19177.76,19254.24,19168.26,19248.49,11828,260,0
2025-04-01 10:00:00+00:00,19248.49,19296.99,19199.86,19212.99,20548,260,0
2025-04-01 11:00:00+00:00,19212.74,19290.86,19202.49,19287.24,14185,260,0
2025-04-01 12:00:00+00:00,19286.99,19328.99,19278.61,19305.49,11497,260,0
2025-04-01 13:00:00+00:00,19305.74,19309.99,19162.11,19221.49,22644,260,0
2025-04-01 14:00:00+00:00,19221.74,19225.49,19129.86,19172.36,21449,260,0
2025-04-01 15:00:00+00:00,19171.49,19212.24,19155.99,19200.61,21845,260,0
2025-04-01 16:00:00+00:00,19200.74,19279.59,19157.09,19243.21,38148,240,0
2025-04-01 17:00:00+00:00,19235.06,19337.71,19079.46,19333.96,51241,240,0
2025-04-01 18:00:00+00:00,19333.84,19423.96,19321.21,19409.96,44752,240,0
2025-04-01 19:00:00+00:00,19411.09,19461.21,19314.96,19381.84,43306,240,0
2025-04-01 20:00:00+00:00,19381.84,19400.59,19318.96,19323.84,39458,240,0
2025-04-01 21:00:00+00:00,19323.96,19331.96,19203.34,19266.46,41464,240,0
2025-04-01 22:00:00+00:00,19266.34,19444.21,19255.71,19424.09,40102,240,0
2025-04-01 23:00:00+00:00,19424.21,19446.64,19393.01,19415.89,13200,240,0
2025-04-02 01:00:00+00:00,19421.64,19510.89,19416.26,19463.01,7223,280,0
2025-04-02 02:00:00+00:00,19463.01,19485.39,19450.51,19462.64,6661,280,0
2025-04-02 03:00:00+00:00,19462.76,19465.14,19376.39,19391.01,13971,280,0
2025-04-02 04:00:00+00:00,19390.76,19421.51,19380.26,19413.01,10478,280,0
2025-04-02 05:00:00+00:00,19413.14,19417.64,19387.26,19399.01,7833,280,0
2025-04-02 06:00:00+00:00,19399.01,19407.89,19380.51,19387.26,4533,280,0
2025-04-02 07:00:00+00:00,19387.14,19410.14,19383.56,19409.39,3851,280,0
2025-04-02 08:00:00+00:00,19409.26,19410.39,19368.26,19376.64,5276,280,0
2025-04-02 09:00:00+00:00,19376.64,19408.74,19363.76,19383.49,8335,260,0
2025-04-02 10:00:00+00:00,19382.86,19403.99,19335.74,19354.11,18343,260,0
2025-04-02 11:00:00+00:00,19354.49,19384.11,19318.36,19348.74,14472,260,0
2025-04-02 12:00:00+00:00,19348.74,19373.49,19330.74,19335.11,11150,260,0
2025-04-02 13:00:00+00:00,19335.24,19342.61,19272.99,19289.99,18164,260,0
2025-04-02 14:00:00+00:00,19289.99,19301.61,19243.11,19247.74,15148,260,0
2025-04-02 15:00:00+00:00,19248.24,19250.24,19162.74,19205.74,24933,260,0
2025-04-02 16:00:00+00:00,19205.74,19399.46,19137.74,19350.84,39329,240,0
2025-04-02 17:00:00+00:00,19350.71,19458.71,19311.34,19452.21,48231,240,0
2025-04-02 18:00:00+00:00,19452.21,19533.09,19397.96,19487.84,45508,240,0
2025-04-02 19:00:00+00:00,19487.96,19647.96,19477.59,19632.71,39842,240,0
2025-04-02 20:00:00+00:00,19632.96,19709.09,19538.46,19564.59,40320,240,0
2025-04-02 21:00:00+00:00,19563.96,19578.59,19424.34,19427.21,43630,240,0
2025-04-02 22:00:00+00:00,19426.96,19613.21,19426.46,19577.59,44398,240,0
2025-04-02 23:00:00+00:00,19574.06,19863.01,18896.89,18942.76,31867,280,0
2025-04-03 01:00:00+00:00,18844.79,18848.42,18639.54,18769.04,14295,280,0
2025-04-03 02:00:00+00:00,18766.67,18767.92,18665.42,18700.29,11178,280,0
2025-04-03 03:00:00+00:00,18698.79,18887.54,18697.92,18814.67,17966,280,0
2025-04-03 04:00:00+00:00,18814.67,18944.04,18814.04,18898.79,15167,280,0
2025-04-03 05:00:00+00:00,18898.79,18953.79,18880.29,18951.92,11802,280,0
2025-04-03 06:00:00+00:00,18951.79,18958.92,18889.04,18923.67,8588,280,0
2025-04-03 07:00:00+00:00,18924.17,18967.17,18918.17,18941.54,7172,280,0
2025-04-03 08:00:00+00:00,18941.54,18961.54,18858.54,18861.04,9428,280,0
2025-04-03 09:00:00+00:00,18861.42,18918.52,18843.17,18865.89,11623,260,0
2025-04-03 10:00:00+00:00,18865.77,18944.77,18845.64,18915.64,17240,260,0
2025-04-03 11:00:00+00:00,18915.89,18990.89,18895.64,18972.64,14432,260,0
2025-04-03 12:00:00+00:00,18972.64,18996.02,18837.39,18853.14,12508,260,0
2025-04-03 13:00:00+00:00,18853.14,18867.14,18768.02,18811.89,15960,260,0
2025-04-03 14:00:00+00:00,18811.52,18856.02,18778.39,18808.14,15435,260,0
2025-04-03 15:00:00+00:00,18808.27,18880.14,18664.89,18670.77,24334,260,0
2025-04-03 16:00:00+00:00,18669.89,18893.24,18650.27,18813.87,46422,240,0
2025-04-03 17:00:00+00:00,18783.24,18822.74,18582.12,18586.12,53680,240,0
2025-04-03 18:00:00+00:00,18586.12,18753.62,18540.12,18704.62,51058,240,0
2025-04-03 19:00:00+00:00,18704.62,18806.87,18678.87,18694.62,47904,240,0
2025-04-03 20:00:00+00:00,18694.62,18737.87,18631.99,18633.62,42063,240,0
2025-04-03 21:00:00+00:00,18633.62,18681.37,18574.87,18669.62,42616,240,0
2025-04-03 22:00:00+00:00,18669.37,18681.24,18484.74,18501.87,48184,240,0
2025-04-03 23:00:00+00:00,18499.62,18528.04,18435.79,18467.42,18724,240,0
2025-04-04 01:00:00+00:00,18480.77,18519.02,18417.02,18465.77,6775,280,0
2025-04-04 02:00:00+00:00,18466.14,18508.39,18438.02,18476.39,8961,280,0
2025-04-04 03:00:00+00:00,18476.52,18535.39,18460.64,18495.77,16415,280,0
2025-04-04 04:00:00+00:00,18495.77,18521.89,18455.89,18461.64,12788,280,0
2025-04-04 05:00:00+00:00,18461.77,18501.77,18457.39,18457.52,10517,280,0
2025-04-04 06:00:00+00:00,18457.52,18459.64,18345.02,18384.02,14497,280,0
2025-04-04 07:00:00+00:00,18384.02,18395.64,18298.14,18306.52,12372,280,0
2025-04-04 08:00:00+00:00,18306.52,18465.77,18284.89,18464.14,17428,280,0
2025-04-04 09:00:00+00:00,18463.77,18497.39,18427.87,18427.87,16145,260,0
2025-04-04 10:00:00+00:00,18428.12,18471.49,18401.24,18407.99,29730,260,0
2025-04-04 11:00:00+00:00,18408.12,18480.12,18388.87,18409.87,28522,260,0
2025-04-04 12:00:00+00:00,18409.87,18419.99,18343.87,18394.74,24387,260,0
2025-04-04 13:00:00+00:00,18394.62,18422.87,17854.74,17907.74,32781,260,0
2025-04-04 14:00:00+00:00,17906.99,17980.37,17644.12,17950.37,29317,260,0
2025-04-04 15:00:00+00:00,17950.37,18059.19,17853.37,18033.74,26044,260,0
2025-04-04 16:00:00+00:00,18033.24,18094.87,17827.97,18017.59,50160,240,0
2025-04-04 17:00:00+00:00,18017.84,18021.34,17478.72,17677.72,59651,240,0
2025-04-04 18:00:00+00:00,17677.72,17967.22,17647.97,17704.22,57180,240,0
2025-04-04 19:00:00+00:00,17704.47,17801.22,17532.72,17573.22,54507,240,0
2025-04-04 20:00:00+00:00,17574.59,17689.84,17441.97,17688.47,52388,240,0
2025-04-04 21:00:00+00:00,17689.09,17734.47,17371.34,17447.22,52950,240,0
2025-04-04 22:00:00+00:00,17447.34,17692.97,17351.72,17367.22,57151,240,0
2025-04-04 23:00:00+00:00,17366.59,17391.97,17209.64,17308.39,30962,240,0
2025-04-07 01:00:00+00:00,16834.91,16834.91,16377.83,16498.41,13369,280,0
2025-04-07 02:00:00+00:00,16498.41,16622.41,16288.58,16552.91,10885,280,0
2025-04-07 03:00:00+00:00,16553.28,16604.16,16336.08,16598.53,22089,280,0
2025-04-07 04:00:00+00:00,16599.03,16842.78,16559.78,16813.66,28189,280,0
2025-04-07 05:00:00+00:00,16813.16,16854.78,16687.78,16725.53,22831,280,0
2025-04-07 06:00:00+00:00,16725.78,16730.41,16569.28,16639.66,21554,280,0
2025-04-07 07:00:00+00:00,16640.78,16689.78,16499.41,16566.28,17759,280,0
2025-04-07 08:00:00+00:00,16566.66,16742.91,16535.53,16590.28,19293,280,0
2025-04-07 09:00:00+00:00,16589.53,16646.26,16338.76,16373.63,18929,260,0
2025-04-07 10:00:00+00:00,16372.88,16525.63,16311.38,16511.76,28448,260,0
2025-04-07 11:00:00+00:00,16512.63,16786.51,16500.26,16673.51,26561,260,0
2025-04-07 12:00:00+00:00,16673.38,16778.51,16578.88,16718.63,20848,260,0
2025-04-07 13:00:00+00:00,16719.38,17107.01,16686.51,16952.13,26791,260,0
2025-04-07 14:00:00+00:00,16952.13,17061.76,16833.38,16892.88,28126,260,0
