time,open,high,low,close,tick_volume,spread,real_volume
2025-04-17 22:00:00+00:00,1.13736,1.1376,1.13685,1.13735,2525,0,0
2025-04-17 23:00:00+00:00,1.13733,1.13766,1.13618,1.13631,1391,0,0
2025-04-18 00:00:00+00:00,1.13594,1.13677,1.13586,1.13667,254,28,0
2025-04-18 01:00:00+00:00,1.13667,1.13705,1.13646,1.13655,1779,12,0
2025-04-18 02:00:00+00:00,1.13655,1.13733,1.13655,1.13707,1380,4,0
2025-04-18 03:00:00+00:00,1.13707,1.13856,1.13625,1.13743,4596,0,0
2025-04-18 04:00:00+00:00,1.13741,1.13761,1.1367099999999999,1.13712,6811,0,0
2025-04-18 05:00:00+00:00,1.13712,1.13781,1.13687,1.13717,5014,0,0
2025-04-18 06:00:00+00:00,1.13717,1.13753,1.1369,1.1373199999999999,5917,0,0
2025-04-18 07:00:00+00:00,1.13733,1.1374,1.1368,1.13695,4842,0,0
2025-04-18 08:00:00+00:00,1.13694,1.13738,1.13616,1.13706,4892,0,0
2025-04-18 09:00:00+00:00,1.13706,1.13761,1.13606,1.1360999999999999,6289,0,0
2025-04-18 10:00:00+00:00,1.13611,1.13758,1.13547,1.13695,7298,1,0
2025-04-18 11:00:00+00:00,1.13696,1.1372,1.13667,1.13704,8097,0,0
2025-04-18 12:00:00+00:00,1.13704,1.13728,1.1367099999999999,1.1369,6189,0,0
2025-04-18 13:00:00+00:00,1.1369,1.13747,1.13681,1.13733,6577,0,0
2025-04-18 14:00:00+00:00,1.13734,1.13827,1.13712,1.13806,6642,0,0
2025-04-18 15:00:00+00:00,1.13802,1.13862,1.13799,1.13821,6409,0,0
2025-04-18 16:00:00+00:00,1.13824,1.13827,1.13758,1.13788,3674,1,0
2025-04-18 17:00:00+00:00,1.13788,1.13975,1.13766,1.13954,4229,0,0
2025-04-18 18:00:00+00:00,1.13955,1.1396,1.1387,1.1391499999999999,4106,0,0
2025-04-18 19:00:00+00:00,1.13913,1.13939,1.13865,1.13936,2590,0,0
2025-04-18 20:00:00+00:00,1.13936,1.13941,1.13902,1.13919,1755,4,0
2025-04-18 21:00:00+00:00,1.13919,1.13946,1.13901,1.13936,1360,0,0
2025-04-18 22:00:00+00:00,1.13936,1.13971,1.13926,1.13935,620,0,0
2025-04-18 23:00:00+00:00,1.13935,1.1394199999999999,1.13899,1.13921,941,2,0
2025-04-21 00:00:00+00:00,1.13922,1.14236,1.1385399999999999,1.14021,599,0,0
2025-04-21 01:00:00+00:00,1.14075,1.14387,1.13902,1.14322,3692,0,0
2025-04-21 02:00:00+00:00,1.1433,1.14584,1.14326,1.1448800000000001,3710,0,0
2025-04-21 03:00:00+00:00,1.1448800000000001,1.14863,1.14487,1.14662,7350,0,0
2025-04-21 04:00:00+00:00,1.14662,1.1479,1.14651,1.1476600000000001,4614,0,0
2025-04-21 05:00:00+00:00,1.1476600000000001,1.15316,1.1472,1.15044,5924,0,0
