time,open,high,low,close,tick_volume,spread,real_volume
2025-12-31 13:00:00+00:00,71.879,72.326,71.705,71.935,7297,16,0
2025-12-31 14:00:00+00:00,71.935,72.039,71.306,71.887,9300,5,0
2025-12-31 15:00:00+00:00,71.884,72.398,71.535,72.209,11609,4,0
2025-12-31 16:00:00+00:00,72.198,73.754,71.667,73.388,25558,4,0
2025-12-31 17:00:00+00:00,73.388,73.564,72.105,72.394,23801,2,0
2025-12-31 18:00:00+00:00,72.394,72.519,71.432,71.713,17571,7,0
2025-12-31 19:00:00+00:00,71.718,72.009,71.115,71.284,15034,11,0
2025-12-31 20:00:00+00:00,71.284,71.881,71.05,71.627,14079,9,0
2025-12-31 21:00:00+00:00,71.636,71.817,70.381,70.458,18152,2,0
2025-12-31 22:00:00+00:00,70.458,71.427,70.056,71.062,20485,2,0
2025-12-31 23:00:00+00:00,71.064,71.635,70.942,71.605,4210,2,0
2026-01-02 01:00:00+00:00,72.391,73.025,70.93,72.647,8198,2,0
2026-01-02 02:00:00+00:00,72.647,73.011,71.917,72.686,4988,2,0
2026-01-02 03:00:00+00:00,72.686,72.978,72.257,72.795,6578,2,0
2026-01-02 04:00:00+00:00,72.795,72.983,72.204,72.854,8437,2,0
2026-01-02 05:00:00+00:00,72.844,73.559,72.738,73.342,7291,2,0
2026-01-02 06:00:00+00:00,73.337,73.684,73.204,73.36,7920,2,0
2026-01-02 07:00:00+00:00,73.367,74.001,73.146,73.958,6438,2,0
2026-01-02 08:00:00+00:00,73.958,74.219,73.71,73.92,6701,10,0
2026-01-02 09:00:00+00:00,73.924,74.056,73.679,74.015,6694,15,0
2026-01-02 10:00:00+00:00,74.015,74.536,73.964,74.423,7052,12,0
2026-01-02 11:00:00+00:00,74.421,74.537,74.326,74.401,4846,11,0
2026-01-02 12:00:00+00:00,74.402,74.527,74.327,74.47,4670,15,0
2026-01-02 13:00:00+00:00,74.47,74.558,74.09,74.2,4307,10,0
2026-01-02 14:00:00+00:00,74.199,74.34,73.79,73.991,5211,8,0
2026-01-02 15:00:00+00:00,73.993,74.142,73.528,73.871,12743,12,0
2026-01-02 16:00:00+00:00,73.87,74.424,73.17,73.576,23106,2,0
2026-01-02 17:00:00+00:00,73.564,73.865,72.571,72.62,31418,2,0
2026-01-02 18:00:00+00:00,72.613,72.667,71.61,72.235,29999,4,0
2026-01-02 19:00:00+00:00,72.225,72.751,71.854,71.923,19694,4,0
2026-01-02 20:00:00+00:00,71.894,72.055,71.415,71.891,20557,2,0
2026-01-02 21:00:00+00:00,71.894,72.663,71.882,72.003,16166,6,0
2026-01-02 22:00:00+00:00,72.004,72.737,71.935,72.548,15796,3,0
2026-01-02 23:00:00+00:00,72.548,72.812,72.403,72.795,2979,8,0
2026-01-05 01:00:00+00:00,73.251,74.151,72.807,74.019,8942,2,0
2026-01-05 02:00:00+00:00,74.019,75.581,73.932,75.47,10242,7,0
2026-01-05 03:00:00+00:00,75.473,76.353,75.137,75.523,18307,2,0
2026-01-05 04:00:00+00:00,75.523,75.865,74.955,75.547,7995,15,0
2026-01-05 05:00:00+00:00,75.544,75.93,75.149,75.188,9464,7,0
2026-01-05 06:00:00+00:00,75.194,75.554,75.179,75.479,3702,11,0
2026-01-05 07:00:00+00:00,75.479,75.52,74.952,75.378,8066,9,0
2026-01-05 08:00:00+00:00,75.366,75.561,75.3,75.461,11278,4,0
2026-01-05 09:00:00+00:00,75.462,75.536,75.353,75.494,5737,16,0
2026-01-05 10:00:00+00:00,75.494,75.93,75.459,75.772,8836,12,0
2026-01-05 11:00:00+00:00,75.77,76.346,75.723,76.282,7837,12,0
2026-01-05 12:00:00+00:00,76.285,76.308,75.766,75.793,6050,2,0
2026-01-05 13:00:00+00:00,75.798,75.904,74.702,74.777,11397,3,0
2026-01-05 14:00:00+00:00,74.767,75.206,74.578,74.985,9033,3,0
2026-01-05 15:00:00+00:00,75.0,75.615,74.866,75.593,16606,2,0
2026-01-05 16:00:00+00:00,75.602,77.01,75.602,76.736,28634,2,0
2026-01-05 17:00:00+00:00,76.736,77.176,76.299,77.152,24925,2,0
2026-01-05 18:00:00+00:00,77.152,77.878,76.578,77.049,16069,2,0
2026-01-05 19:00:00+00:00,77.041,77.065,76.147,76.429,20932,4,0
2026-01-05 20:00:00+00:00,76.428,76.836,76.246,76.524,13777,3,0
2026-01-05 21:00:00+00:00,76.528,76.549,75.615,76.106,14168,5,0
2026-01-05 22:00:00+00:00,76.106,76.42,75.665,76.188,13537,5,0
2026-01-05 23:00:00+00:00,76.184,76.62,76.15,76.592,2803,2,0
2026-01-06 01:00:00+00:00,76.516,76.881,75.885,76.175,4616,11,0
2026-01-06 02:00:00+00:00,76.175,76.498,76.088,76.314,4669,10,0
2026-01-06 03:00:00+00:00,76.32,76.804,75.897,76.654,14246,2,0
2026-01-06 04:00:00+00:00,76.654,77.935,76.516,77.722,13709,3,0
2026-01-06 05:00:00+00:00,77.722,78.952,77.722,78.809,10209,2,0
2026-01-06 06:00:00+00:00,78.809,79.083,78.47,78.674,4516,3,0
2026-01-06 07:00:00+00:00,78.674,79.362,78.208,78.477,10832,9,0
2026-01-06 08:00:00+00:00,78.478,79.15,78.427,78.917,10868,8,0
2026-01-06 09:00:00+00:00,78.912,79.007,78.001,78.086,6294,18,0
2026-01-06 10:00:00+00:00,78.068,78.573,77.981,78.551,8432,4,0
2026-01-06 11:00:00+00:00,78.551,78.558,77.586,77.62,8861,10,0
2026-01-06 12:00:00+00:00,77.616,78.035,77.421,77.817,7216,2,0
2026-01-06 13:00:00+00:00,77.818,78.372,77.795,78.333,5327,10,0
2026-01-06 14:00:00+00:00,78.333,78.489,78.127,78.394,6018,10,0
2026-01-06 15:00:00+00:00,78.393,79.069,78.14,78.981,18652,2,0
2026-01-06 16:00:00+00:00,78.982,80.453,78.714,80.38,22523,2,0
2026-01-06 17:00:00+00:00,80.377,80.731,79.617,80.282,26215,2,0
2026-01-06 18:00:00+00:00,80.27,80.86,79.848,80.659,19228,2,0
2026-01-06 19:00:00+00:00,80.639,81.338,80.465,81.228,15961,2,0
2026-01-06 20:00:00+00:00,81.203,81.433,80.309,80.994,15713,3,0
2026-01-06 21:00:00+00:00,80.991,81.005,79.835,80.087,15843,4,0
2026-01-06 22:00:00+00:00,80.086,81.431,79.924,81.265,13442,2,0
2026-01-06 23:00:00+00:00,81.263,81.391,80.999,81.245,2767,2,0
